t,Euler,k1,Midpt,k1,k2,RK4,k1,k2,k3,k4
26.9,-18106.080295,-1334.692133,-18171.342977,-1334.619619,-1337.045473,-18171.340560,-1334.619622,-1337.045476,-1337.045341,-1339.471061,
27.0,-18239.549508,-1339.543834,-18305.047525,-1339.471058,-1341.896643,-18305.045099,-1339.471061,-1341.896646,-1341.896511,-1344.321961,
27.1,-18373.503892,-1344.394996,-18439.237189,-1344.321959,-1346.747274,-18439.234754,-1344.321961,-1346.747277,-1346.747142,-1349.172323,
27.2,-18507.943391,-1349.245618,-18573.911916,-1349.172320,-1351.597366,-18573.909473,-1349.172323,-1351.597369,-1351.597234,-1354.022145,
27.3,-18642.867953,-1354.095702,-18709.071653,-1354.022143,-1356.446919,-18709.069201,-1354.022145,-1356.446922,-1356.446787,-1358.871429,
27.4,-18778.277524,-1358.945247,-18844.716345,-1358.871426,-1361.295933,-18844.713884,-1358.871429,-1361.295936,-1361.295801,-1363.720174,
27.5,-18914.172048,-1363.794253,-18980.845938,-1363.720171,-1366.144409,-18980.843469,-1363.720174,-1366.144412,-1366.144277,-1368.568380,
27.6,-19050.551474,-1368.642721,-19117.460379,-1368.568377,-1370.992346,-19117.457901,-1368.568380,-1370.992349,-1370.992214,-1373.416048,
27.7,-19187.415746,-1373.490649,-19254.559614,-1373.416045,-1375.839744,-19254.557127,-1373.416048,-1375.839747,-1375.839612,-1378.263177,
27.8,-19324.764811,-1378.338039,-19392.143588,-1378.263174,-1380.686604,-19392.141093,-1378.263177,-1380.686606,-1380.686472,-1383.109767,
27.9,-19462.598614,-1383.184890,-19530.212249,-1383.109764,-1385.532925,-19530.209744,-1383.109767,-1385.532928,-1385.532793,-1387.955819,
28.0,-19600.917103,-1388.031203,-19668.765541,-1387.955816,-1390.378707,-19668.763028,-1387.955819,-1390.378710,-1390.378576,-1392.801332,
28.1,-19739.720224,-1392.876978,-19807.803412,-1392.801330,-1395.223952,-19807.800890,-1392.801332,-1395.223954,-1395.223820,-1397.646307,
